Commodities,Currency crosses,cryptos
_,SAR/DKK,JobsCoin
_,THB/DKK,Bitcoin 21
_,TRY/DKK,Desire
_,TWD/DKK,Visio
_,VES/DKK,SydPak
_,DKK/RUB,Xonecoin
_,EUR/DOP,Zayedcoin
_,GBP/DOP,ImpulseCoin
_,USD/DOP,BROTHER
_,EUR/DZD,CrevaCoin
_,GBP/DZD,Rupaya
_,USD/DZD,Quebecoin
_,EGP/PKR,HOdlcoin
_,EUR/EGP,SongCoin
_,GBP/EGP,Titcoin
_,USD/EGP,Destiny
_,HKD/EGP,Taler Coin
_,ILS/EGP,Litecred
_,INR/EGP,EquiTrader
_,MXN/EGP,Dollarcoin
_,NOK/EGP,BitCoal
_,NZD/EGP,SpeedCash
_,PHP/EGP,Eurocoin
_,PLN/EGP,Open Trading Network
_,RUB/EGP,Cannation
_,SAR/EGP,Prime-XI
_,SEK/EGP,MiloCoin
_,SGD/EGP,LiteBitcoin
_,THB/EGP,Cabbage
_,TRY/EGP,TajCoin
_,TWD/EGP,RSGPcoin
_,VES/EGP,Veltor
_,ZAR/EGP,NevaCoin
_,EGP/EUR,Luna Coin
_,EGP/GBP,VectorAI
_,EGP/JPY,JavaScript Token
_,EGP/SAR,High Voltage
_,EGP/USD,Bulleon
_,JPY/EGP,LiteCoin Ultra
_,EUR/ETB,Project-X
_,GBP/ETB,PLNcoin
_,USD/ETB,Bitvolt
_,EUR/USD,Independent Money System
_,EUR/GBP,PlatinumBAR
_,EUR/JPY,BenjiRolls
_,EUR/NOK,Paypex
_,EUR/PLN,Dalecoin
_,EUR/NZD,BriaCoin
_,EUR/SEK,WomenCoin
_,EUR/ILS,Dash Green
_,EUR/TRY,Wild Beast Block
_,EUR/THB,Peerguess
_,EUR/ZAR,EcoCoin
_,EUR/MXN,Crystal Clear 
_,EUR/SGD,Comet
_,EUR/HUF,SONO
_,EUR/HKD,NodeCoin
_,EUR/KRW,iBank
_,EUR/FJD,Coinonat
_,EUR/GHS,SocialCoin
_,EUR/GMD,Fintab
_,EUR/GNF,RouletteToken
_,EUR/GTQ,Ccore
_,EUR/HNL,Iconic
_,EUR/HRK,Experience Points
_,EUR/HTG,VapersCoin
_,EUR/IDR,PonziCoin
_,EUR/INR,Argus
_,EUR/IQD,Concoin
_,EUR/IRR,ArtByte
_,EUR/ISK,Helpico
_,EUR/JMD,HarmonyCoin
_,EUR/JOD,X2
_,EUR/KES,CRYPTO20
_,EUR/KHR,RON
_,EUR/KWD,Aces
_,EUR/KYD,ALQO
_,EUR/KZT,BUMO
_,EUR/LAK,DEEX
_,EUR/LBP,FOIN
_,EUR/LKR,Kala
_,EUR/LSL,LIZA
_,EUR/LYD,MOAC
_,EUR/MAD,NAGA
_,EUR/MDL,ODEM
_,EUR/MGA,Veggie
_,EUR/MKD,WiBX
_,EUR/MMK,Axiom
_,EUR/MOP,Clams
_,EUR/MRU,Dashs
_,EUR/MUR,Fidyo
_,EUR/MWK,Flash
_,EUR/MYR,Hydro
_,EUR/NAD,Lykke
_,EUR/NGN,MMXVI
_,EUR/NIO,SaluS
_,EUR/NPR,Tesra
_,EUR/OMR,BioBar
_,EUR/PAB,Bubble
_,EUR/PEN,Change
_,EUR/PGK,ECC
_,EUR/PHP,Francs
_,EUR/PKR,Maggie
_,EUR/PYG,Nectar
_,EUR/QAR,netBit
_,EUR/RON,Sphere
_,EUR/RSD,Wagerr
_,EUR/RUB,XDE II
_,EUR/RWF,BitCore
_,EUR/SAR,BMChain
_,EUR/SCR,BTCMoon
_,EUR/SDG,Electra
_,EUR/SDR,LKRCoin
_,EUR/SOS,Moneta
_,EUR/STN,Neumark
_,EUR/SVC,Omicron
_,EUR/SYP,Sexcoin
_,EUR/SZL,United Traders Token
_,EUR/TND,Bastonet
_,EUR/TTD,BitTube
_,EUR/TWD,BitcoinX
_,EUR/TZS,BlockCDN
_,EUR/UAH,ClubCoin
_,EUR/UGX,DarkLisk
_,EUR/UYU,Etheroll
_,EUR/UZS,Fazzcoin
_,EUR/VES,MarxCoin
_,EUR/VND,PeepCoin
_,EUR/XAF,Polybius
_,EUR/XOF,Quotient
_,EUR/XPF,RubleBit
_,EUR/ZMW,Rubycoin
_,GBP/EUR,SegWit2x
_,GHS/EUR,TopChain
_,JPY/EUR,Universa
_,NZD/EUR,Voyacoin
_,SGD/EUR,Zeitcoin
_,USD/EUR,AgaveCoin
_,EUR/XCD,BNS Token
_,HKD/EUR,CanYaCoin
_,ILS/EUR,COMSA [ETH]
_,MXN/EUR,EncrypGen
_,NOK/EUR,KashhCoin
_,PLN/EUR,Lambo Coin
_,RUB/EUR,RoyalCoin
_,SAR/EUR,ShellCoin
_,SEK/EUR,SwapToken
_,TRY/EUR,ThoreNext
_,TWD/EUR,Auroracoin
_,VES/EUR,Authorship
_,ZAR/EUR,AvatarCoin
_,MAD/EUR,BlazerCoin
_,KRW/EUR,BlockStamp
_,EUR/MZN,ColossusXT
_,INR/EUR,FirstBlood
_,JOD/EUR,Flash Token
_,KWD/EUR,Fonziecoin
_,EUR/TJS,FuturoCoin
_,EUR/RUB,PrismChain
_,HUF/EUR,RabbitCoin
_,GEL/EUR,SpankChain
_,EUR/GEL,SportsCoin
_,IDR/EUR,TrickyCoin
_,EUR/RUB,Bitcoin God
_,FJD/USD,CoinEx Token
_,GBP/FJD,Dinastycoin
_,USD/FJD,NewYorkCoin
_,GBP/USD,NoLimitCoin
_,GBP/JPY,V-Dimension
_,GBP/NZD,Counterparty
_,GBP/SGD,Cycling Coin
_,GBP/ILS,DeltaCredits
_,GBP/PLN,Bitcoin Vault
_,GBP/NOK,Ethereum Lite
_,GBP/THB,InflationCoin
_,GBP/ZAR,InvisibleCoin
_,GBP/TRY,Super Bitcoin
_,GBP/SEK,CryptoBossCoin
_,GBP/HKD,Ethereum eRush
_,GBP/HUF,EurocoinToken
_,GBP/GMD,Exchange Union
_,GBP/GTQ,FrankyWillCoin
_,GBP/HNL,GameLeagueCoin
_,GBP/HRK,Halloween Coin
_,GBP/HTG,Jibrel Network
_,GBP/IDR,ThoreCashTRX
_,GBP/INR,United Bitcoin
_,GBP/IQD,CryptoWorldX Token
_,GBP/IRR,Cryptoindex.com 100
_,GBP/ISK,Digital Bullion Gold
_,GBP/JMD,Advanced Internet Blocks
_,GBP/JOD,_
_,GBP/KES,_
_,GBP/KRW,_
_,GBP/KWD,_
_,GBP/KZT,_
_,GBP/LBP,_
_,GBP/LKR,_
_,GBP/MAD,_
_,GBP/MUR,_
_,GBP/MWK,_
_,GBP/MXN,_
_,GBP/MYR,_
_,GBP/NGN,_
_,GBP/NIO,_
_,GBP/OMR,_
_,GBP/PEN,_
_,GBP/PGK,_
_,GBP/PHP,_
_,GBP/PKR,_
_,GBP/QAR,_
_,GBP/RON,_
_,GBP/RUB,_
_,GBP/SAR,_
_,GBP/SCR,_
_,GBP/SZL,_
_,GBP/TND,_
_,GBP/TTD,_
_,GBP/TWD,_
_,GBP/TZS,_
_,GBP/UAH,_
_,GBP/UGX,_
_,GBP/VND,_
_,GBP/XAF,_
_,GBP/XPF,_
_,GBP/ZMW,_
_,JPY/GBP,_
_,KWD/GBP,_
_,NZD/GBP,_
_,OMR/GBP,_
_,SGD/GBP,_
_,TND/GBP,_
_,USD/GBP,_
_,GBP/NAD,_
_,GBP/PAB,_
_,GBP/XCD,_
_,GBP/XOF,_
_,HKD/GBP,_
_,ILS/GBP,_
_,MXN/GBP,_
_,NOK/GBP,_
_,PLN/GBP,_
_,RUB/GBP,_
_,SAR/GBP,_
_,SEK/GBP,_
_,TRY/GBP,_
_,TWD/GBP,_
_,VES/GBP,_
_,ZAR/GBP,_
_,KRW/GBP,_
_,INR/GBP,_
_,JOD/GBP,_
_,GBP/NPR,_
_,IDR/GBP,_
_,GBP/RUB,_
_,USD/GEL,_
_,GEL/RUB,_
_,GHS/USD,_
_,USD/GHS,_
_,USD/GMD,_
_,USD/GNF,_
_,USD/GTQ,_
_,SGD/HKD,_
_,HKD/JPY,_
_,NZD/HKD,_
_,USD/HKD,_
_,HKD/IDR,_
_,HKD/INR,_
_,HKD/KRW,_
_,HKD/MXN,_
_,HKD/MYR,_
_,HKD/PKR,_
_,HKD/PLN,_
_,HKD/THB,_
_,HKD/TWD,_
_,HKD/ZAR,_
_,JPY/HKD,_
_,KRW/HKD,_
_,MXN/HKD,_
_,MYR/HKD,_
_,ZAR/HKD,_
_,HKD/HUF,_
_,HKD/ILS,_
_,HKD/ISK,_
_,HKD/JMD,_
_,HKD/JOD,_
_,HKD/KES,_
_,HKD/LBP,_
_,HKD/LKR,_
_,HKD/MAD,_
_,HKD/NAD,_
_,HKD/NOK,_
_,HKD/NPR,_
_,HKD/NZD,_
_,HKD/OMR,_
_,HKD/PAB,_
_,HKD/PHP,_
_,HKD/QAR,_
_,HKD/RON,_
_,HKD/RUB,_
_,HKD/SAR,_
_,HKD/SEK,_
_,HKD/SGD,_
_,HKD/TRY,_
_,HKD/USD,_
_,HKD/VES,_
_,HKD/XAF,_
_,HKD/XCD,_
_,HKD/XOF,_
_,ILS/HKD,_
_,INR/HKD,_
_,NOK/HKD,_
_,PHP/HKD,_
_,PLN/HKD,_
_,RUB/HKD,_
_,SAR/HKD,_
_,SEK/HKD,_
_,THB/HKD,_
_,TRY/HKD,_
_,TWD/HKD,_
_,VES/HKD,_
_,HKD/RUB,_
_,USD/HNL,_
_,USD/HRK,_
_,USD/HTG,_
_,PLN/HUF,_
_,USD/HUF,_
_,NZD/HUF,_
_,HUF/IDR,_
_,HUF/INR,_
_,HUF/JPY,_
_,HUF/ISK,_
_,HUF/KRW,_
_,HUF/PHP,_
_,HUF/PKR,_
_,HUF/RUB,_
_,HUF/THB,_
_,HUF/XAF,_
_,HUF/JMD,_
_,HUF/KES,_
_,HUF/LKR,_
_,HUF/LBP,_
_,HUF/NPR,_
_,HUF/XOF,_
_,ILS/HUF,_
_,INR/HUF,_
_,ISK/HUF,_
_,JPY/HUF,_
_,MXN/HUF,_
_,NOK/HUF,_
_,PHP/HUF,_
_,PKR/HUF,_
_,RUB/HUF,_
_,SAR/HUF,_
_,SEK/HUF,_
_,SGD/HUF,_
_,THB/HUF,_
_,TRY/HUF,_
_,TWD/HUF,_
_,VES/HUF,_
_,ZAR/HUF,_
_,HUF/USD,_
_,HUF/ILS,_
_,HUF/RUB,_
_,IDR/INR,_
_,IDR/JPY,_
_,IDR/KRW,_
_,IDR/THB,_
_,IDR/TWD,_
_,JPY/IDR,_
_,KRW/IDR,_
_,MYR/IDR,_
_,NZD/IDR,_
_,SGD/IDR,_
_,THB/IDR,_
_,TWD/IDR,_
_,USD/IDR,_
_,ZAR/IDR,_
_,ILS/IDR,_
_,INR/IDR,_
_,ISK/IDR,_
_,MXN/IDR,_
_,NOK/IDR,_
_,PHP/IDR,_
_,PKR/IDR,_
_,PLN/IDR,_
_,RUB/IDR,_
_,SAR/IDR,_
_,SEK/IDR,_
_,TRY/IDR,_
_,VES/IDR,_
_,IDR/USD,_
_,USD/ILS,_
_,ILS/JPY,_
_,JOD/ILS,_
_,JPY/ILS,_
_,ILS/INR,_
_,ILS/ISK,_
_,ILS/JMD,_
_,ILS/JOD,_
_,ILS/KES,_
_,ILS/KRW,_
_,ILS/LBP,_
_,ILS/LKR,_
_,ILS/MAD,_
_,ILS/MXN,_
_,ILS/MYR,_
_,ILS/NAD,_
_,ILS/NOK,_
_,ILS/NPR,_
_,ILS/NZD,_
_,ILS/OMR,_
_,ILS/PAB,_
_,ILS/PHP,_
_,ILS/PKR,_
_,ILS/PLN,_
_,ILS/QAR,_
_,ILS/RON,_
_,ILS/RUB,_
_,ILS/SAR,_
_,ILS/SEK,_
_,ILS/SGD,_
_,ILS/THB,_
_,ILS/TRY,_
_,ILS/TWD,_
_,ILS/USD,_
_,ILS/VES,_
_,ILS/XAF,_
_,ILS/XCD,_
_,ILS/XOF,_
_,ILS/ZAR,_
_,INR/ILS,_
_,MXN/ILS,_
_,NOK/ILS,_
_,NZD/ILS,_
_,PLN/ILS,_
_,RUB/ILS,_
_,SAR/ILS,_
_,SEK/ILS,_
_,SGD/ILS,_
_,THB/ILS,_
_,TRY/ILS,_
_,TWD/ILS,_
_,VES/ILS,_
_,ZAR/ILS,_
_,ILS/UAH,_
_,ILS/PEN,_
_,ILS/UYU,_
_,ISK/ILS,_
_,KRW/ILS,_
_,RON/ILS,_
_,USD/INR,_
_,INR/JPY,_
_,INR/KRW,_
_,INR/PKR,_
_,INR/THB,_
_,INR/TWD,_
_,JPY/INR,_
_,KRW/INR,_
_,MYR/INR,_
_,NOK/INR,_
_,NZD/INR,_
_,SEK/INR,_
_,SGD/INR,_
_,THB/INR,_
_,TWD/INR,_
_,ZAR/INR,_
_,INR/PHP,_
_,INR/ISK,_
_,INR/JMD,_
_,INR/KES,_
_,INR/LBP,_
_,INR/LKR,_
_,INR/MAD,_
_,INR/MXN,_
_,INR/MYR,_
_,INR/NAD,_
_,INR/NOK,_
_,INR/NPR,_
_,INR/RUB,_
_,INR/SEK,_
_,INR/TRY,_
_,INR/XAF,_
_,INR/XOF,_
_,INR/ZAR,_
_,ISK/INR,_
_,MXN/INR,_
_,PHP/INR,_
_,PKR/INR,_
_,PLN/INR,_
_,RUB/INR,_
_,SAR/INR,_
_,TRY/INR,_
_,VES/INR,_
_,INR/USD,_
_,INR/RUB,_
_,USD/IQD,_
_,IQD/USD,_
_,USD/IRR,_
_,IRR/USD,_
_,SEK/ISK,_
_,USD/ISK,_
_,ISK/JPY,_
_,ISK/KRW,_
_,ISK/PHP,_
_,ISK/PKR,_
_,ISK/RUB,_
_,ISK/THB,_
_,ISK/XAF,_
_,ISK/JMD,_
_,ISK/KES,_
_,ISK/LKR,_
_,ISK/LBP,_
_,ISK/NPR,_
_,ISK/XOF,_
_,JPY/ISK,_
_,MXN/ISK,_
_,NOK/ISK,_
_,NZD/ISK,_
_,PHP/ISK,_
_,PKR/ISK,_
_,PLN/ISK,_
_,RUB/ISK,_
_,SAR/ISK,_
_,SGD/ISK,_
_,THB/ISK,_
_,TRY/ISK,_
_,TWD/ISK,_
_,VES/ISK,_
_,ZAR/ISK,_
_,USD/JMD,_
_,JPY/JMD,_
_,MXN/JMD,_
_,NOK/JMD,_
_,NZD/JMD,_
_,PHP/JMD,_
_,PKR/JMD,_
_,PLN/JMD,_
_,RUB/JMD,_
_,SAR/JMD,_
_,SEK/JMD,_
_,SGD/JMD,_
_,THB/JMD,_
_,TRY/JMD,_
_,TWD/JMD,_
_,VES/JMD,_
_,ZAR/JMD,_
_,USD/JOD,_
_,NOK/JOD,_
_,NZD/JOD,_
_,PLN/JOD,_
_,SAR/JOD,_
_,SEK/JOD,_
_,SGD/JOD,_
_,TRY/JOD,_
_,TWD/JOD,_
_,VES/JOD,_
_,ZAR/JOD,_
_,JOD/JPY,_
_,JOD/KWD,_
_,JPY/JOD,_
_,KWD/JOD,_
_,JOD/USD,_
_,JOD/SAR,_
_,USD/JPY,_
_,NZD/JPY,_
_,NOK/JPY,_
_,PLN/JPY,_
_,TRY/JPY,_
_,THB/JPY,_
_,ZAR/JPY,_
_,MXN/JPY,_
_,SEK/JPY,_
_,SGD/JPY,_
_,JPY/KRW,_
_,JPY/MXN,_
_,JPY/MYR,_
_,JPY/NOK,_
_,JPY/NZD,_
_,JPY/PKR,_
_,JPY/PLN,_
_,JPY/SEK,_
_,JPY/THB,_
_,JPY/TWD,_
_,JPY/USD,_
_,JPY/ZAR,_
_,KRW/JPY,_
_,MYR/JPY,_
_,TWD/JPY,_
_,JPY/KES,_
_,JPY/LBP,_
_,JPY/LKR,_
_,JPY/NPR,_
_,JPY/PHP,_
_,JPY/RUB,_
_,JPY/XAF,_
_,JPY/XOF,_
_,PHP/JPY,_
_,PKR/JPY,_
_,RUB/JPY,_
_,SAR/JPY,_
_,VES/JPY,_
_,JPY/KWD,_
_,JPY/SAR,_
_,JPY/SGD,_
_,KWD/JPY,_
_,JPY/UAH,_
_,JPY/TRY,_
_,JPY/RUB,_
_,USD/JPY,_
_,JPY/RUB,_
_,USD/KES,_
_,MXN/KES,_
_,NOK/KES,_
_,NZD/KES,_
_,PHP/KES,_
_,PKR/KES,_
_,PLN/KES,_
_,RUB/KES,_
_,SAR/KES,_
_,SEK/KES,_
_,SGD/KES,_
_,THB/KES,_
_,TRY/KES,_
_,TWD/KES,_
_,VES/KES,_
_,ZAR/KES,_
_,USD/KGS,_
_,KGS/RUB,_
_,KGS/RUB,_
_,USD/KHR,_
_,USD/KMF,_
_,USD/KRW,_
_,KRW/MYR,_
_,KRW/THB,_
_,KRW/TWD,_
_,KRW/ZAR,_
_,MYR/KRW,_
_,NZD/KRW,_
_,SGD/KRW,_
_,THB/KRW,_
_,TWD/KRW,_
_,ZAR/KRW,_
_,MXN/KRW,_
_,NOK/KRW,_
_,PHP/KRW,_
_,PKR/KRW,_
_,PLN/KRW,_
_,RUB/KRW,_
_,SAR/KRW,_
_,SEK/KRW,_
_,TRY/KRW,_
_,VES/KRW,_
_,KRW/USD,_
_,KRW/SGD,_
_,KRW/RUB,_
_,USD/KWD,_
_,KWD/PKR,_
_,KWD/SAR,_
_,SAR/KWD,_
_,KWD/USD,_
_,KWD/TRY,_
_,KWD/MYR,_
_,SGD/KWD,_
_,KWD/SGD,_
_,KYD/USD,_
_,USD/KZT,_
_,RUB/KZT,_
_,KZT/RUB,_
_,UAH/KZT,_
_,KZT/RUB,_
_,USD/LAK,_
_,USD/LBP,_
_,MXN/LBP,_
_,NOK/LBP,_
_,NZD/LBP,_
_,PHP/LBP,_
_,PKR/LBP,_
_,PLN/LBP,_
_,RUB/LBP,_
_,SAR/LBP,_
_,SEK/LBP,_
_,SGD/LBP,_
_,THB/LBP,_
_,TRY/LBP,_
_,TWD/LBP,_
_,VES/LBP,_
_,ZAR/LBP,_
_,USD/LKR,_
_,MXN/LKR,_
_,NOK/LKR,_
_,NZD/LKR,_
_,PHP/LKR,_
_,PKR/LKR,_
_,PLN/LKR,_
_,RUB/LKR,_
_,SAR/LKR,_
_,SEK/LKR,_
_,SGD/LKR,_
_,THB/LKR,_
_,TRY/LKR,_
_,TWD/LKR,_
_,VES/LKR,_
_,ZAR/LKR,_
_,USD/LSL,_
_,USD/LYD,_
_,USD/MAD,_
_,MXN/MAD,_
_,NOK/MAD,_
_,NZD/MAD,_
_,PHP/MAD,_
_,PLN/MAD,_
_,RUB/MAD,_
_,SAR/MAD,_
_,SEK/MAD,_
_,SGD/MAD,_
_,THB/MAD,_
_,TRY/MAD,_
_,TWD/MAD,_
_,VES/MAD,_
_,ZAR/MAD,_
_,USD/MDL,_
_,MDL/RUB,_
_,MDL/RUB,_
_,USD/MGA,_
_,USD/MKD,_
_,USD/MMK,_
_,USD/MNT,_
_,USD/MOP,_
_,USD/MRU,_
_,USD/MUR,_
_,USD/MVR,_
_,USD/MWK,_
_,USD/MXN,_
_,MXN/ZAR,_
_,SGD/MXN,_
_,MXN/MYR,_
_,MXN/NAD,_
_,MXN/NOK,_
_,MXN/NPR,_
_,MXN/NZD,_
_,MXN/PAB,_
_,MXN/PHP,_
_,MXN/PKR,_
_,MXN/PLN,_
_,MXN/QAR,_
_,MXN/RON,_
_,MXN/RUB,_
_,MXN/SAR,_
_,MXN/SEK,_
_,MXN/SGD,_
_,MXN/THB,_
_,MXN/TRY,_
_,MXN/TWD,_
_,MXN/USD,_
_,MXN/VES,_
_,MXN/XAF,_
_,MXN/XCD,_
_,MXN/XOF,_
_,NOK/MXN,_
_,NZD/MXN,_
_,PHP/MXN,_
_,PLN/MXN,_
_,RUB/MXN,_
_,SAR/MXN,_
_,SEK/MXN,_
_,THB/MXN,_
_,TRY/MXN,_
_,TWD/MXN,_
_,VES/MXN,_
_,ZAR/MXN,_
_,PYG/MXN,_
_,UYU/MXN,_
_,PEN/MXN,_
_,MXN/PYG,_
_,MXN/UYU,_
_,MXN/PEN,_
_,MYR/NZD,_
_,MYR/PKR,_
_,MYR/SGD,_
_,MYR/THB,_
_,MYR/TWD,_
_,MYR/ZAR,_
_,NZD/MYR,_
_,SGD/MYR,_
_,USD/MYR,_
_,ZAR/MYR,_
_,NOK/MYR,_
_,PHP/MYR,_
_,PLN/MYR,_
_,RUB/MYR,_
_,SAR/MYR,_
_,SEK/MYR,_
_,THB/MYR,_
_,TRY/MYR,_
_,TWD/MYR,_
_,VES/MYR,_
_,MYR/USD,_
_,USD/MZN,_
_,USD/NAD,_
_,NOK/NAD,_
_,NZD/NAD,_
_,PHP/NAD,_
_,PLN/NAD,_
_,RUB/NAD,_
_,SAR/NAD,_
_,SEK/NAD,_
_,SGD/NAD,_
_,THB/NAD,_
_,TRY/NAD,_
_,TWD/NAD,_
_,VES/NAD,_
_,ZAR/NAD,_
_,USD/NGN,_
_,USD/NIO,_
_,NIO/USD,_
_,USD/NOK,_
_,NOK/SEK,_
_,SEK/NOK,_
_,ZAR/NOK,_
_,NOK/NPR,_
_,NOK/NZD,_
_,NOK/OMR,_
_,NOK/PAB,_
_,NOK/PHP,_
_,NOK/PKR,_
_,NOK/PLN,_
_,NOK/QAR,_
_,NOK/RON,_
_,NOK/RUB,_
_,NOK/SAR,_
_,NOK/SGD,_
_,NOK/THB,_
_,NOK/TRY,_
_,NOK/TWD,_
_,NOK/USD,_
_,NOK/VES,_
_,NOK/XAF,_
_,NOK/XCD,_
_,NOK/XOF,_
_,NOK/ZAR,_
_,NZD/NOK,_
_,PHP/NOK,_
_,PLN/NOK,_
_,RUB/NOK,_
_,SAR/NOK,_
_,SGD/NOK,_
_,THB/NOK,_
_,TRY/NOK,_
_,TWD/NOK,_
_,VES/NOK,_
_,NOK/RUB,_
_,USD/NPR,_
_,NZD/NPR,_
_,PHP/NPR,_
_,PKR/NPR,_
_,PLN/NPR,_
_,RUB/NPR,_
_,SAR/NPR,_
_,SEK/NPR,_
_,SGD/NPR,_
_,THB/NPR,_
_,TRY/NPR,_
_,TWD/NPR,_
_,VES/NPR,_
_,ZAR/NPR,_
_,NZD/USD,_
_,NZD/PLN,_
_,NZD/SEK,_
_,NZD/THB,_
_,NZD/ZAR,_
_,NZD/SGD,_
_,NZD/PKR,_
_,NZD/TWD,_
_,SGD/NZD,_
_,USD/NZD,_
_,NZD/OMR,_
_,NZD/PAB,_
_,NZD/PHP,_
_,NZD/QAR,_
_,NZD/RON,_
_,NZD/RUB,_
_,NZD/SAR,_
_,NZD/TRY,_
_,NZD/VES,_
_,NZD/XAF,_
_,NZD/XCD,_
_,NZD/XOF,_
_,PLN/NZD,_
_,SAR/NZD,_
_,SEK/NZD,_
_,TRY/NZD,_
_,TWD/NZD,_
_,VES/NZD,_
_,ZAR/NZD,_
_,OMR/PKR,_
_,USD/OMR,_
_,PLN/OMR,_
_,SAR/OMR,_
_,SEK/OMR,_
_,SGD/OMR,_
_,TRY/OMR,_
_,TWD/OMR,_
_,VES/OMR,_
_,ZAR/OMR,_
_,USD/PAB,_
_,PLN/PAB,_
_,SAR/PAB,_
_,SEK/PAB,_
_,SGD/PAB,_
_,TRY/PAB,_
_,TWD/PAB,_
_,VES/PAB,_
_,ZAR/PAB,_
_,USD/PEN,_
_,PYG/PEN,_
_,PEN/PYG,_
_,UYU/PEN,_
_,PEN/UYU,_
_,VES/PEN,_
_,PEN/VES,_
_,PEN/USD,_
_,USD/PGK,_
_,USD/PHP,_
_,ZAR/PHP,_
_,PHP/PKR,_
_,PHP/RUB,_
_,PHP/SEK,_
_,PHP/THB,_
_,PHP/TRY,_
_,PHP/XAF,_
_,PHP/XOF,_
_,PHP/ZAR,_
_,PKR/PHP,_
_,PLN/PHP,_
_,RUB/PHP,_
_,SAR/PHP,_
_,SEK/PHP,_
_,SGD/PHP,_
_,THB/PHP,_
_,TRY/PHP,_
_,TWD/PHP,_
_,VES/PHP,_
_,PHP/USD,_
_,QAR/PHP,_
_,QAR/PKR,_
_,SAR/PKR,_
_,SGD/PKR,_
_,THB/PKR,_
_,TWD/PKR,_
_,USD/PKR,_
_,ZAR/PKR,_
_,PKR/RUB,_
_,PKR/THB,_
_,PKR/XAF,_
_,PKR/XOF,_
_,PLN/PKR,_
_,RUB/PKR,_
_,SEK/PKR,_
_,TRY/PKR,_
_,VES/PKR,_
_,USD/PLN,_
_,SEK/PLN,_
_,SGD/PLN,_
_,PLN/QAR,_
_,PLN/RON,_
_,PLN/RUB,_
_,PLN/SAR,_
_,PLN/SEK,_
_,PLN/SGD,_
_,PLN/THB,_
_,PLN/TRY,_
_,PLN/TWD,_
_,PLN/USD,_
_,PLN/VES,_
_,PLN/XAF,_
_,PLN/XCD,_
_,PLN/XOF,_
_,PLN/ZAR,_
_,RUB/PLN,_
_,SAR/PLN,_
_,TRY/PLN,_
_,TWD/PLN,_
_,VES/PLN,_
_,ZAR/PLN,_
_,UAH/PLN,_
_,PLN/UAH,_
_,PLN/RUB,_
_,USD/PYG,_
_,PYG/UYU,_
_,UYU/PYG,_
_,VES/PYG,_
_,PYG/VES,_
_,PYG/USD,_
_,USD/QAR,_
_,RUB/QAR,_
_,SAR/QAR,_
_,SEK/QAR,_
_,SGD/QAR,_
_,THB/QAR,_
_,TRY/QAR,_
_,TWD/QAR,_
_,VES/QAR,_
_,ZAR/QAR,_
_,USD/RON,_
_,RON/RUB,_
_,SAR/RON,_
_,SEK/RON,_
_,SGD/RON,_
_,TRY/RON,_
_,TWD/RON,_
_,VES/RON,_
_,ZAR/RON,_
_,RON/RUB,_
_,USD/RSD,_
_,USD/RUB,_
_,RUB/SAR,_
_,RUB/SEK,_
_,RUB/THB,_
_,RUB/TRY,_
_,RUB/TWD,_
_,RUB/USD,_
_,RUB/VES,_
_,RUB/XAF,_
_,RUB/XOF,_
_,RUB/ZAR,_
_,SAR/RUB,_
_,SEK/RUB,_
_,SGD/RUB,_
_,THB/RUB,_
_,TRY/RUB,_
_,TWD/RUB,_
_,VES/RUB,_
_,ZAR/RUB,_
_,RUB/UAH,_
_,UAH/RUB,_
_,USD/RUB,_
_,RUB/VND,_
_,TMT/RUB,_
_,SDR/RUB,_
_,TJS/RUB,_
_,UZS/RUB,_
_,SEK/RUB,_
_,SGD/RUB,_
_,TJS/RUB,_
_,TMT/RUB,_
_,TRY/RUB,_
_,UAH/RUB,_
_,USD/RUB,_
_,UZS/RUB,_
_,SDR/RUB,_
_,ZAR/RUB,_
_,USD/RUB,_
_,USD/RWF,_
_,USD/SAR,_
_,SAR/SEK,_
_,SAR/SGD,_
_,SAR/THB,_
_,SAR/TRY,_
_,SAR/TWD,_
_,SAR/USD,_
_,SAR/VES,_
_,SAR/XAF,_
_,SAR/XCD,_
_,SAR/XOF,_
_,SAR/ZAR,_
_,SEK/SAR,_
_,SGD/SAR,_
_,THB/SAR,_
_,TRY/SAR,_
_,TWD/SAR,_
_,VES/SAR,_
_,ZAR/SAR,_
_,USD/SCR,_
_,USD/SDG,_
_,USD/SEK,_
_,SEK/SGD,_
_,SEK/THB,_
_,SEK/TRY,_
_,SEK/TWD,_
_,SEK/USD,_
_,SEK/VES,_
_,SEK/XAF,_
_,SEK/XCD,_
_,SEK/XOF,_
_,SEK/ZAR,_
_,SGD/SEK,_
_,THB/SEK,_
_,TRY/SEK,_
_,TWD/SEK,_
_,VES/SEK,_
_,ZAR/SEK,_
_,USD/SGD,_
_,SGD/THB,_
_,SGD/TWD,_
_,SGD/USD,_
_,SGD/ZAR,_
_,SGD/TRY,_
_,SGD/VES,_
_,SGD/XAF,_
_,SGD/XCD,_
_,SGD/XOF,_
_,TRY/SGD,_
_,TWD/SGD,_
_,VES/SGD,_
_,ZAR/SGD,_
_,USD/SOS,_
_,USD/STN,_
_,USD/SVC,_
_,USD/SYP,_
_,SYP/USD,_
_,USD/SZL,_
_,USD/THB,_
_,THB/TWD,_
